id	category	type	en	ko	zh	kk	bn	uz	options
Q13	Orientation Week Team Building	likert	"I was well informed and am aware of the basic Korean Regulations through the Orientation Week sessions (Law & Safety, Insurance and Legal presentations)."	"→ 오리엔테이션 주간 세션(법과 안전, 보험 및 법률 안내)을 통해 기본적인 한국 관련 규정을 잘 알게 되었습니다."	通?迎新周的各??座（法律?安全、保?及法律?明等），我充分了解了???相?的基本?定。	"Ба?ыттау апталы?ыны? сессиялары (???ы? ж?не ?ау?пс?зд?к, са?тандыру ж?не ???ы?ты? презентациялар) ар?ылы мен корей т?л?н?? нег?зг? ережелер?н жа?сы б?лем?н ж?не б?лем?н."	"???????????? ???????? ????????? (??? ? ?????????, ???? ??? ???? ?????????) ??????? ??? ??????? ???? ????? ??? ????? ???????? ?????????? ???????? ???? ??????"	"Men Orientatsiya haftaligi mashg'ulotlari (Huquq va xavfsizlik, Sug'urta va Huquqiy taqdimotlar) orqali Koreyaning asosiy qoidalari haqida yaxshi xabardor edim va ulardan xabardorman."	
Q14	Orientation Week Team Building	likert	Orientation Week helped me to feel as a part of a community and improve Endicott spirit.	→ 오리엔테이션 주간은 공동체의 일원이라는 느낌을 주었고 엔디컷의 공동체 의식을 높이는 데 도움이 되었습니다.	迎新周?我感受到自己是集?的一?，?有助于提升 Endicott 的社?意?。	Ба?ыттау апталы?ы ма?ан ?з?мд? ?о?амдасты?ты? б?р б?л?г? рет?нде сез?нуге ж?не Эндикот рухын жа?сарту?а к?мектест?.	???????????? ?????? ????? ???? ???????????? ??? ?????? ????? ???? ??? ????????? ?????? ????? ???? ??????? ???????	Orientatsiya haftaligi menga o'zimni jamiyatning bir qismi sifatida his qilishimga va Endicott ruhini yaxshilashga yordam berdi.	
Q15	Orientation Week Team Building	likert	My Peer Group Leader helped me to adapt to Endicott life during the orientation Week period.	→ 오리엔테이션 기간 동안 동료 그룹 리더는 제가 엔디컷 생활에 적응하도록 도와주었습니다.	在迎新期?，同伴小????助我适? Endicott 的校?生活。	Мен?? ??рдастар тобыны? жетекш?с? ба?ыттау апталы?ы кезе??нде Эндикот ?м?р?не бей?мделуге к?мектест?.	???? ?????? ????? ????? ????? ???????????? ???????? ???????? ??????? ?????? ???? ??? ?????? ???? ??????? ???????	Tengdoshlar guruhi rahbarim menga orientatsiya haftaligi davrida Endicott hayotiga moslashishga yordam berdi.	
Q16	Orientation Week Team Building	likert	"Orientation Week offered ample opportunities to network with peers, faculty, and staff."	"→ 오리엔테이션 주간은 동료 학생, 교수진, 직원들과 교류할 수 있는 충분한 기회를 제공했습니다."	迎新周?我提供了?同?、??和工作人?交流的充足机?。	"Ба?ыттау апталы?ы ??рдастарымен, о?ытушыларымен ж?не ?ызметкерлермен байланыс орнату?а ке? м?мк?нд?ктер берд?."	"???????????? ?????? ???????, ????? ??? ???????? ???? ?????????? ???? ???? ?????? ????? ?????? ???????"	"Orientatsiya haftaligi tengdoshlar, professor-o'qituvchilar va xodimlar bilan aloqa o'rnatish uchun keng imkoniyatlar yaratdi."	
Q17	Orientation Week Team Building	likert	Orientation Week Associates were helpful and cheerful.	→ 오리엔테이션 주간 진행요원들은 친절하고 적극적으로 도와주었습니다.	迎新周的工作人??情友好，??提供?助。	Ба?ыттау апталы?ыны? сер?ктестер? к?мекш?л ж?не к???лд? болды.	???????????? ???????? ???????? ?????? ??? ???????? ??????	Orientatsiya haftaligi xodimlari yordamchi va xushchaqchaq edilar.	
Q18	Orientation Week Team Building	multi	What was the most beneficial session for you?	→ 본인에게 가장 도움이 되었던 세션은 무엇이었습니까?	????，?一???最有?助？	С?з ?ш?н е? пайдалы сессия ?андай болды?	????? ???? ??????? ?????? ??????? ????? ????	Siz uchun eng foydali sessiya qaysi bo'ldi?	Legal & Immigration|Insurance|Tuition & Scholarship|Korean Law & Safety|Korean Culture|Life in Endicott|Banking|Student Council
Q19	Orientation Week Team Building	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q19	Admissions	multi	Pathway to Woosong University	→ 우송대학교를 알게 된 경로	?是通?什?途?了解又松大?的？	Вусонг университет?не баратын жол	??? ???????????????? ??	Woosong universitetiga yo'l	Marketer|Friends or acquaintances|Introduction from high school|Other
Q20	Admissions	text	How would you rate your admissions procedure?	→ 입학 절차 전반에 대해 어떻게 평가하십니까?	?如何?价整?入?手?流程？	?абылдау процес?н ?алай ба?алар ед???з?	????? ????? ???????????? ???? ?????? ????????? ??????	Qabul qilish jarayonini qanday baholaysiz?	
Q21	Admissions	likert	The admissions team communicated and responded in a swift and timely manner.	→ 입학팀은 신속하고 적절한 시기에 소통하고 응대했습니다.	招生???通及?，回?迅速。	"?абылдау комиссиясы жылдам ж?не уа?тылы байланысып, жауап берд?."	????? ?? ????? ??? ?????????????? ??????? ????? ??? ???????????? ??????????	Qabul guruhi tezkor va o'z vaqtida muloqot qildi va javob berdi.	
Q22	Admissions	likert	The admissions platform/portal was user-friendly and intuitive.	→ 입학 지원 플랫폼/포털은 사용하기 편리하고 직관적이었습니다.	?上?名平台／???站使用方便、界面直?。	?абылдау платформасы/порталы пайдаланушы?а ы??айлы ж?не интуитивт? болды.	????? ???????????/????????? ???????????-?????? ??? ???????? ????	Qabul platformasi/portali foydalanuvchilar uchun qulay va intuitiv edi.	
Q23	Admissions	likert	"The availability of contact options (e.g., email, phone, chat) during the admissions process was sufficient."	"→ 입학 과정에서 제공된 연락 수단(이메일, 전화, 채팅 등)은 충분했습니다."	在入??程中提供的?系方式（如?子?件、??、聊天等）十分充足。	"?абылдау процес? кез?нде байланыс опцияларыны? (мысалы, электронды? пошта, телефон, чат) ?олжет?мд?л?г? жетк?л?кт? болды."	"????? ?????????? ???????? ????????? ??????????? (????, ????, ???, ?????) ????????? ?????? ????"	"Qabul qilish jarayonida aloqa imkoniyatlarining mavjudligi (masalan, elektron pochta, telefon, chat) yetarli edi."	
Q24	Admissions	likert	"The admissions process was inclusive and considerate of individuals from diverse backgrounds (e.g., cultural, socioeconomic, disability, etc.)."	"→ 입학 과정은 다양한 배경(문화, 사회·경제적 배경, 장애 등)을 가진 지원자들을 포용하고 배려했습니다."	入?流程能?包容?照?到具有不同背景（文化、社?????、?障等）的申?者。	"?абылдау процес? ?рт?рл? ортадан шы??ан адамдар?а (мысалы, м?дени, ?леуметт?к-экономикалы?, м?гедект?к ж?не т.б.) ?ам?орлы?пен ж?не ?ам?орлы?пен ?арады."	"????? ???????????? ??????? ??????? (????, ??????????, ????-???????, ??????????, ???????) ?????????? ???? ???????????????? ??? ??????????? ????"	"Qabul qilish jarayoni turli kelib chiqishi (masalan, madaniy, ijtimoiy-iqtisodiy, nogironlik va boshqalar) bo'lgan shaxslarni qamrab oluvchi va e'tiborli edi."	
Q25	Admissions	text	What was the most challenging part during the admissions procedure?	→ 입학 절차에서 가장 어려웠던 점은 무엇이었습니까?	在入??程中，??得最困?的部分是什?？	?абылдау процес? кез?ндег? е? ?иын кезе? не болды?	????? ?????????? ???????? ??????? ??????????? ????? ?? ????	Qabul qilish jarayonida eng qiyin qismi nima edi?	
Q26	Admissions	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q26	Faculty	likert	Endicott professors have a thorough knowledge of the subject content.	→ 엔디컷 교수님들은 담당 과목 내용에 대해 깊이 있는 지식을 가지고 있습니다.	Endicott 的老??所?授的?程?容有深入的掌握。	Endicott профессорлары п?н мазм?нын толы? б?лед?.	????????? ?????????? ?????????? ???????? ????? ????? ???????	Endicott professorlari fan mazmunini chuqur bilishadi.	
Q27	Faculty	likert	Endicott has a truly multicultural faculty.	→ 엔디컷에는 진정한 다문화 교수진이 구성되어 있습니다.	Endicott ?有?正多元文化背景的???伍。	Endicott-та шынымен к?пм?дениетт? о?ытушылар ??рамы бар.	????????? ???? ?????????? ???????????? ????? ???????	Endicott chinakam ko'p madaniyatli professor-o'qituvchilarga ega.	
Q28	Faculty	likert	"Professors are approachable, helpful, friendly, professional, and competent."	"→ 교수님들은 친근하게 다가갈 수 있으며, 도움을 잘 주고, 친절하고, 전문적이며 유능합니다."	老?平易近人、?于助人、友好??且能力突出。	"Профессорлар ?олжет?мд?, к?мекш?л, досты?, к?с?би ж?не ??зыретт?."	"????????? ???????, ??????, ?????????????, ??????? ??? ?????"	"Professorlar ochiqko'ngil, yordamchi, do'stona, professional va malakali."	
Q29	Faculty	likert	Professors speak fluent English and are able to deliver the lectures in a clear and organized manner.	→ 교수님들은 유창한 영어로 강의를 명확하고 체계적으로 진행합니다.	老?能用流利的英??行授?，?解??、??合理。	Профессорлар а?ылшын т?л?нде ерк?н с?йлейд? ж?не д?р?стерд? аны? ж?не ?йымдас?ан т?рде о?и алады.	????????? ?????? ?????? ???? ????? ??? ?????? ??? ?????????? ??????? ???? ????? ???	Professorlar ingliz tilida ravon so'zlashadi va ma'ruzalarni aniq va tartibli tarzda o'qiy olishadi.	
Q30	Faculty	likert	Professors are receptive to feedback and willing to adapt their teaching style.	→ 교수님들은 피드백을 잘 수용하고 수업 방식의 변화를 기꺼이 받아들입니다.	老??于接受反?，?愿意相??整??方式。	Профессорлар кер? байланыс?а ??ла? асады ж?не о?ыту стил?н бей?мдеуге дайын.	????????? ???????????? ????? ???? ?????? ??? ????? ??????????? ????? ??? ?????? ???? ???????	Professorlar fikr-mulohazalarni qabul qilishadi va o'qitish uslublarini moslashtirishga tayyor.	
Q31	Faculty	likert	Professors encourage open discussions and critical thinking during classes.	→ 교수님들은 수업 중 열린 토론과 비판적 사고를 장려합니다.	老?在?堂上鼓??放??和批判性思?。	Профессорлар саба? кез?нде ашы? тал?ылаулар мен сыни ойлауды ?олдайды.	????????? ????? ???????? ???????? ?????? ??? ???????????? ????????????? ??????? ?????	Professorlar darslar davomida ochiq munozaralar va tanqidiy fikrlashni rag'batlantiradilar.	
Q32	Faculty	likert	My professors treated all students in a fair way.	→ 교수님들은 모든 학생을 공정하게 대했습니다.	老??所有?生一?同仁。	Мен?? профессорларым барлы? студенттерге ?д?л ?арады.	???? ????????? ??? ???????????? ???? ??????? ???? ??????	Mening professorlarim barcha talabalarga adolatli munosabatda bo'lishdi.	
Q33	Faculty	likert	Professors create a collaborative environment that fosters mutual respect and effective communication among students.	→ 교수님들은 학생들 간의 상호 존중과 효과적인 의사소통을 촉진하는 협력적인 수업 환경을 조성합니다.	老??造了一?促??生之?相互尊重和有效?通的合作式?堂?境。	Профессорлар студенттер арасында ?зара ??рмет пен ти?мд? ?арым-?атынасты ?алыптастыратын ынтыма?тасты? ортасын жасайды.	????????? ???? ???????????? ?????? ???? ???? ?? ????????????? ????? ????????? ??????? ??? ??????? ????????? ??????? ????	Professorlar talabalar o'rtasida o'zaro hurmat va samarali muloqotni rivojlantiradigan hamkorlik muhitini yaratadilar.	
Q34	Faculty	likert	Professors care about my academic development and understand my learning needs.	→ 교수님들은 제 학업 성장을 중요하게 생각하고 제 학습 요구를 잘 이해합니다.	老??心我的???展，?理解我的??需求。	Профессорлар мен?? академиялы? дамуыма ?ам?орлы? жасайды ж?не о?у ?ажетт?л?ктер?мд? т?с?нед?.	????????? ???? ???????? ??????? ????? ??????? ??? ???? ????? ?????????? ??????	Professorlar mening akademik rivojlanishimga g'amxo'rlik qiladilar va mening o'quv ehtiyojlarimni tushunadilar.	
Q35	Faculty	likert	"Professors respect and support my unique background, identity, and experiences when providing guidance."	"→ 교수님들은 지도 과정에서 저의 고유한 배경, 정체성, 경험을 존중하고 지원합니다."	老?在指??程中尊重?支持我?特的背景、身?和??。	"Профессорлар мен?? ерекше ?м?рбаянымды, жеке басымды ж?не т?ж?рибемд? ??рметтейд? ж?не басшылы? берген кезде ?олдайды."	"????????? ????????? ???????? ???? ???? ????? ??????, ?????? ??? ?????????? ?????? ???? ??? ?????? ?????"	"Professorlar mening noyob kelib chiqishim, shaxsiyatim va tajribalarimni hurmat qiladilar va ularga yo'l-yo'riq ko'rsatadilar."	
Q36	Faculty	likert	"My professors treated me with respect, and I felt safe around them."	"→ 교수님들은 저를 존중해 주었고, 교수님들과 함께 있을 때 편안하고 안전하다고 느꼈습니다."	老?尊重我，?我在?老?相??感到舒适和安全。	"Профессорларым ма?ан ??рметпен ?арады, мен оларды? ?асында ?з?мд? ?ау?пс?з сез?нд?м."	???? ????????? ???? ???? ???????? ???? ???? ????? ??? ??? ????? ??????? ?????? ??? ??????	Professorlarim menga hurmat bilan munosabatda bo'lishdi va men ularning yonida o'zimni xavfsiz his qildim.	
Q37	Faculty	likert	Professors are accessible outside class time.	→ 교수님들은 수업 시간 외에도 쉽게 연락하고 찾아갈 수 있습니다.	老?在非上???也?容易?系和?求?助。	Профессорлар саба?тан тыс уа?ытта ?олжет?мд?.	????????? ??????? ?????? ???????????????	Professorlar darsdan tashqari vaqtda kirish imkoniyatiga ega.	
Q38	Faculty	likert	I feel that professors at SolBridge are committed to fostering my personal and professional growth.	→ 솔브리지 교수님들은 제 개인적·직업적 성장을 지원하는 데 전념하고 있다고 느낍니다.	我?得 SolBridge 的老?致力于促?我?人和???展的成?。	SolBridge профессорлары мен?? жеке ж?не к?с?би ?су?ме ы?пал етуге м?ндеттенед? деп ойлаймын.	??? ??? ??? ?? ????????? ????????? ???? ????????? ??? ??????? ??????? ??????? ???? ???? ????????????????	Men SolBridge professorlari mening shaxsiy va professional o'sishimni rivojlantirishga sodiq deb hisoblayman.	
Q39	Faculty	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha sharhlar/takliflar	
Q39	Education and Curriculum	likert	I feel that my academic experiences are preparing me to achieve my goals.	→ 제 학업 경험은 제 목표를 달성하는 데 잘 준비시켜 주고 있다고 느낍니다.	我?得自己的????正在?好地?助我??目?。	Мен?? академиялы? т?ж?рибем мен? ма?саттарыма жетуге дайындап жатыр деп ойлаймын.	??? ??? ??? ?? ???? ???????? ???????? ????? ???? ?????? ??????? ???? ???????? ?????	Men akademik tajribam meni maqsadlarimga erishishga tayyorlayotganiga ishonaman.	
Q40	Education and Curriculum	likert	"Course activities (through presentations, assignments, discussions etc.) have included varied perspectives (both online and offline)."	"→ 수업 활동(발표, 과제, 토론 등)은 온·오프라인 모두에서 다양한 관점을 반영했습니다."	?堂活?（演示、作?、??等）在?上?下都??了多元的?点。	"Курс ?с-шаралары (презентациялар, тапсырмалар, тал?ылаулар ж?не т.б. ар?ылы) ?рт?рл? к?з?арастарды (онлайн ж?не офлайн) ?амтыды."	"????? ????????? (????????????, ?????????????, ?????? ???????? ???????) ??????? ??????????? (?????? ??? ?????? ????) ??????????? ??????"	"Kurs faoliyati (taqdimotlar, topshiriqlar, muhokamalar va boshqalar orqali) turli nuqtai nazarlarni (ham onlayn, ham oflayn) o'z ichiga olgan."	
Q41	Education and Curriculum	likert	I have gained a global perspective on a variety of issues through my studies.	→ 학업을 통해 다양한 이슈에 대한 글로벌 관점을 갖게 되었습니다.	通???，我?各???形成了全球化?角。	О?уым ар?ылы ?рт?рл? м?селелер бойынша жа?анды? к?з?арас?а ие болдым.	??? ???? ????????? ??????? ??????? ?????? ???? ??????????? ??????????? ????? ??????	Men o'qishim orqali turli masalalar bo'yicha global nuqtai nazarga ega bo'ldim.	
Q42	Education and Curriculum	likert	I have developed skills to contribute effectively in team settings as a result of my coursework and activities.	→ 수업과 활동을 통해 팀 환경에서 효과적으로 기여할 수 있는 역량을 개발했습니다.	通??程和各?活?，我培?了在???境中有效做出??的能力。	Курс ж?мысым мен ?с-шараларымны? н?тижес?нде командалы? ортада ти?мд? ?лес ?осу да?дыларын дамыттым.	???? ???????????? ??? ??????????? ??? ??? ??? ??????? ??????????? ????? ????? ?????? ????? ??????	Men kurs ishlarim va mashg'ulotlarim natijasida jamoaviy sharoitlarda samarali hissa qo'shish ko'nikmalarini rivojlantirdim.	
Q43	Education and Curriculum	likert	I have gained hands-on experience in some of my classes.	→ 일부 수업에서 실질적인 실습 경험을 얻었습니다.	在部分?程中，我?得了??操作的??。	Кейб?р саба?тарымда практикалы? т?ж?рибе жина?тадым.	??? ???? ???? ?????? ????-???? ???????? ????? ??????	Men ba'zi darslarimda amaliy tajriba orttirdim.	
Q44	Education and Curriculum	likert	I have developed skills to contribute effectively in team settings as a result of my coursework and activities.	→ 수업과 활동을 통해 팀 환경에서 효과적으로 기여할 수 있는 능력을 길렀습니다.	通??程和活?，我?一步提升了在??中有效??作用的能力。	Курс ж?мысым мен ?с-шараларымны? н?тижес?нде командалы? ортада ти?мд? ?лес ?осу да?дыларын дамыттым.	???? ???????????? ??? ??????????? ??? ??? ??? ??????? ??????????? ????? ????? ?????? ????? ??????	Men kurs ishlarim va mashg'ulotlarim natijasida jamoaviy sharoitlarda samarali hissa qo'shish ko'nikmalarini rivojlantirdim.	
Q45	Education and Curriculum	likert	There are a variety of courses for me to choose from that I find interesting and relevant.	→ 흥미롭고 제게 적절한 다양한 과목들을 선택할 수 있습니다.	我可以??多有趣且?我相?的?程中?行??。	Ма?ан ?ызы?ты ж?не ?зект? деп санайтын ?рт?рл? курстар бар.	???? ???? ??????? ????? ????? ??? ?????? ???? ??? ???? ???? ???? ?? ???? ???? ????????? ??? ?????????? ??? ??? ????	Men uchun qiziqarli va dolzarb deb biladigan turli xil kurslar mavjud.	
Q46	Education and Curriculum	likert	I am able to effectively communicate to a diverse audience through my classes.	→ 수업을 통해 다양한 사람들을 대상으로 효과적으로 의사소통할 수 있게 되었습니다.	通??程??，我能?更有效地?不同背景的???行?通。	Мен саба?тарым ар?ылы ?рт?рл? аудиториямен ти?мд? байланыс орната аламын.	??? ???? ??????? ??????? ??????? ??????? ???? ??????????? ??????? ???? ??????	Men darslarim orqali turli auditoriya bilan samarali muloqot qila olaman.	
Q47	Education and Curriculum	likert	My courses have helped me develop practical skills that will be useful in my future career.	→ 수강한 과목들은 앞으로의 진로에 유용한 실무 능력을 키우는 데 도움이 되었습니다.	所修?程?助我培?了?未???有用的??技能。	Мен?? курстарым болаша? мансабымда пайдалы болатын практикалы? да?дыларды дамыту?а к?мектест?.	???? ????????? ????? ????????? ?????? ?????? ??????? ????? ?? ???? ????????? ????????? ??????? ????	Mening kurslarim kelajakdagi faoliyatimda foydali bo'ladigan amaliy ko'nikmalarni rivojlantirishga yordam berdi.	
Q48	Education and Curriculum	likert	The program has equipped me with the necessary technical or subject-specific skills relevant to my field of study.	→ 이 프로그램은 제 전공 분야와 관련된 필수 기술 및 전공지식을 갖추게 해주었습니다.	??目使我掌握了?自己???域相?的必要技?和??知?。	Ба?дарлама мен? о?у салама ?атысты ?ажетт? техникалы? немесе п?нге т?н да?дылармен ?амтамасыз етт?.	?? ??????????? ????? ???? ????????? ???????? ?????????? ??????????? ??????????? ?? ?????-????????? ?????? ????? ?????? ??????	Dastur meni o'qish sohamga tegishli zarur texnik yoki fanga oid ko'nikmalar bilan ta'minladi.	
Q49	Education and Curriculum	likert	I have gained an array of knowledge of cultural diversity and variation.	→ 저는 문화적 다양성과 차이에 대한 폭넓은 지식을 얻었습니다.	我?得了?于文化多?性和差?的?泛知?。	Мен м?дени ?рт?рл?л?к пен вариация туралы к?птеген б?л?м алдым.	??? ?????????? ????????? ??? ????????? ???????? ??????? ???? ??????? ????? ??????	Men madaniy xilma-xillik va o'zgaruvchanlik haqida ko'plab bilimlarga ega bo'ldim.	
Q50	Education and Curriculum	likert	My classes program has helped me improve my ability to effectively communicate ideas in both written and verbal formats.	→ 수업과 프로그램은 제가 글쓰기와 말하기 모두에서 생각을 효과적으로 전달하는 능력을 향상시키는 데 도움이 되었습니다.	?程??目有助于提高我以?面和口?形式有效表?思想的能力。	Мен?? саба? ба?дарламасым идеяларды жазбаша ж?не ауызша т?рде ти?мд? жетк?зу ?аб?лет?мд? жа?сарту?а к?мектест?.	???? ????? ????????? ????? ????? ??? ????? ???? ????????? ????????? ??????????? ??????? ???? ?????? ????? ???? ??????? ??????	Mening darslarim dasturi menga fikrlarni yozma va og'zaki shakllarda samarali yetkazish qobiliyatimni oshirishga yordam berdi.	
Q51	Education and Curriculum	likert	The AIEP Club Activity provides great opportunities for students.	→ AIEP 동아리 활동은 학생들에게 매우 좋은 기회를 제공합니다.	AIEP 社?活???生提供了非常好的机?。	AIEP клубыны? ?с-шарасы студенттер ?ш?н керемет м?мк?нд?ктер беред?.	AIEP ????? ???????????? ????????????? ???? ????????? ????? ?????? ????	AIEP klubi faoliyati talabalar uchun ajoyib imkoniyatlar yaratadi.	
Q52	Education and Curriculum	likert	There are valuable lessons to be learned through the AIEP Club Activity.	→ AIEP 동아리 활동을 통해 배울 수 있는 가치 있는 점들이 많습니다.	通??加 AIEP 社?活?，可以?到?多有价?的?西。	AIEP клубыны? ?с-шарасы ар?ылы алу?а болатын ??нды саба?тар бар.	AIEP ????? ????????????? ??????? ????? ??? ???????? ?????? ???????	AIEP klubi faoliyati orqali o'rganish mumkin bo'lgan qimmatli saboqlar mavjud.	
Q53	Education and Curriculum	likert	I am willing to recommend the AIEP Club Activity to other friends.	→ 저는 AIEP 동아리 활동을 다른 친구들에게도 추천하고 싶습니다.	我愿意向其他同?推? AIEP 社?活?。	Мен AIEP клубыны? ?с-шарасын бас?а достарыма ?сыну?а дайынмын.	??? ???????? ???????? ???? AIEP ????? ???????????? ??????? ???? ???????	Men AIEP klubi faoliyatini boshqa do'stlarimga tavsiya qilishga tayyorman.	
Q54	Education and Curriculum	text	Are there any aspects of the AIEP Club Activity that need improvement?	→ AIEP 동아리 활동에서 개선이 필요하다고 생각되는 부분이 있습니까?	??? AIEP 社?活?中有?些方面需要改?？	AIEP клубыны? ?с-шарасыны? жа?сартуды ?ажет етет?н аспект?лер? бар ма?	AIEP ????? ????????????? ??? ???? ??? ??? ?? ?????? ??????? ?????????	AIEP klubi faoliyatining takomillashtirishga muhtoj bo'lgan biron bir jihati bormi?	
Q55	Education and Curriculum	text	Additional Comments/Suggestions	→ 추가 의견/제안	其他意?／建?	?осымша п?к?рлер/?сыныстар	???????? ???????/???????	Qo'shimcha izohlar/takliflar	
Q55	Academic Advisor	likert	The academic advisor is knowledgeable about requirements for my graduation.	→ 학사 상담교수는 제 졸업 요건에 대해 잘 알고 있습니다.	??指?老?非常了解我的??要求。	Академиялы? жетекш? мен?? б?т?ру?ме ?ойылатын талаптар туралы б?лед?.	???? ???????? ???? ????????????? ???????? ?????? ???????? ???????	Akademik maslahatchi mening bitiruvim uchun talablar haqida yaxshi ma'lumotga ega.	
Q56	Academic Advisor	likert	I have received sufficient advice and guidance in relation to my courses.	→ 저는 수강 과목과 관련하여 충분한 조언과 지도를 받았습니다.	在??等方面，我得到了充分的建?和指?。	Мен курстарыма ?атысты жетк?л?кт? ке?естер мен н?с?аулар алдым.	??? ???? ????? ???????? ???????? ??????? ??? ????????? ????????	Men kurslarim bo'yicha yetarli maslahat va ko'rsatmalar oldim.	
Q57	Academic Advisor	likert	Good advice was available when I needed to make study choices on my courses.	→ 과목 선택 등 학업 관련 결정을 해야 할 때 적절한 조언을 받을 수 있었습니다.	在需要做出?程相????策?，我能??得合适的建?。	Курстарым бойынша о?у та?дауын жасау ?ажет бол?ан кезде жа?сы ке?естер бер?лд?.	???? ??????????? ????????? ????? ???? ???????? ??? ???? ??????? ?????? ????	Kurslarim bo'yicha o'qishni tanlashim kerak bo'lganda yaxshi maslahatlar mavjud edi.	
Q58	Academic Advisor	likert	It was easy to contact the academic advisor and set up an appointment (online and offline).	→ 학사 상담교수에게 연락하고 온라인·오프라인 상담 일정을 잡는 것이 쉬웠습니다.	???指?老??系????上或?下面?都?方便。	Академиялы? ке?есш?мен байланысу ж?не кездесуд? белг?леу о?ай болды (онлайн ж?не офлайн).	?????? ????????? ???? ??????? ??? ??? ???????????????? (?????? ??? ??????) ???????? ??? ??? ????	Akademik maslahatchi bilan bog'lanish va uchrashuvni belgilash (onlayn va oflayn) oson edi.	
